"module name","license","repository"
"@angular-devkit/architect@0.800.1","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/core@8.0.1","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/schematics@8.0.1","MIT","https://github.com/angular/angular-cli"
"@angular/animations@8.0.0","MIT","https://github.com/angular/angular"
"@angular/cdk@8.0.0","MIT","https://github.com/angular/components"
"@angular/common@8.0.0","MIT","https://github.com/angular/angular"
"@angular/compiler@8.0.0","MIT","https://github.com/angular/angular"
"@angular/core@8.0.0","MIT","https://github.com/angular/angular"
"@angular/elements@8.0.0","MIT","https://github.com/angular/angular"
"@angular/flex-layout@8.0.0-beta.26","MIT","https://github.com/angular/flex-layout"
"@angular/forms@8.0.0","MIT","https://github.com/angular/angular"
"@angular/material@8.0.0","MIT","https://github.com/angular/components"
"@angular/platform-browser-dynamic@8.0.0","MIT","https://github.com/angular/angular"
"@angular/platform-browser@8.0.0","MIT","https://github.com/angular/angular"
"@angular/router@8.0.0","MIT","https://github.com/angular/angular"
"@babel/code-frame@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame"
"@babel/generator@7.4.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator"
"@babel/helper-function-name@7.1.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name"
"@babel/helper-get-function-arity@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity"
"@babel/helper-split-export-declaration@7.4.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration"
"@babel/highlight@7.0.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-highlight"
"@babel/parser@7.4.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-parser"
"@babel/template@7.4.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-template"
"@babel/traverse@7.4.5","MIT","https://github.com/babel/babel/tree/master/packages/babel-traverse"
"@babel/types@7.4.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-types"
"@nestjs/common@5.7.4","MIT","https://github.com/nestjs/nest"
"@nestjs/core@5.7.4","MIT","https://github.com/nestjs/nest"
"@nestjs/testing@5.7.4","MIT","https://github.com/nestjs/nest"
"@nrwl/angular@8.1.0","MIT","https://github.com/nrwl/nx"
"@nrwl/cypress@8.1.0","MIT","https://github.com/nrwl/nx"
"@nrwl/jest@8.1.0","MIT","https://github.com/nrwl/nx"
"@nuxtjs/opencollective@0.1.0","MIT","https://github.com/nuxt-community/opencollective"
"@schematics/angular@8.0.1","MIT","https://github.com/angular/angular-cli"
"@types/body-parser@1.17.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/connect@3.4.32","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cookiejar@2.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/error-stack-parser@1.3.18","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@0.0.39","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/express-serve-static-core@4.16.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/express@4.17.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jest@23.3.14","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json5@0.0.29","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash@4.14.134","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mime@2.0.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@10.14.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/q@0.0.32","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/range-parser@1.2.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/selenium-webdriver@3.0.16","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/serve-static@1.13.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/superagent@4.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/supertest@2.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"DepAnalysis@1.0.0","MIT",""
"abab@2.0.0","BSD*","https://github.com/jsdom/abab"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"accepts@1.3.7","MIT","https://github.com/jshttp/accepts"
"acorn-globals@4.3.2","MIT","https://github.com/ForbesLindesay/acorn-globals"
"acorn-hammerhead@0.2.0","MIT","https://github.com/miherlosev/acorn-hammerhead"
"acorn-jsx@5.0.1","MIT","https://github.com/RReverser/acorn-jsx"
"acorn-walk@6.1.1","MIT","https://github.com/acornjs/acorn"
"acorn@5.7.3","MIT","https://github.com/acornjs/acorn"
"acorn@6.1.1","MIT","https://github.com/acornjs/acorn"
"adm-zip@0.4.13","MIT","https://github.com/cthackers/adm-zip"
"after@0.8.2","MIT","https://github.com/Raynos/after"
"agent-base@4.3.0","MIT","https://github.com/TooTallNate/node-agent-base"
"ajv@6.10.0","MIT","https://github.com/epoberezkin/ajv"
"amdefine@1.0.1","BSD-3-Clause OR MIT","https://github.com/jrburke/amdefine"
"ansi-align@2.0.0","ISC","https://github.com/nexdrew/ansi-align"
"ansi-colors@1.1.0","MIT","https://github.com/doowb/ansi-colors"
"ansi-cyan@0.1.1","MIT","https://github.com/jonschlinkert/ansi-cyan"
"ansi-escapes@2.0.0","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-escapes@3.2.0","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-gray@0.1.1","MIT","https://github.com/jonschlinkert/ansi-gray"
"ansi-red@0.1.1","MIT","https://github.com/jonschlinkert/ansi-red"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@3.0.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@4.1.0","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@2.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-wrap@0.1.0","MIT","https://github.com/jonschlinkert/ansi-wrap"
"anymatch@2.0.0","ISC","https://github.com/micromatch/anymatch"
"app-root-path@2.2.1","MIT","https://github.com/inxilpro/node-app-root-path"
"append-field@0.1.0","MIT","https://github.com/LinusU/node-append-field"
"append-transform@0.4.0","MIT","https://github.com/jamestalmage/append-transform"
"append-transform@1.0.0","MIT","https://github.com/istanbuljs/append-transform"
"archy@1.0.0","MIT","https://github.com/substack/node-archy"
"argparse@1.0.10","MIT","https://github.com/nodeca/argparse"
"arr-diff@1.1.0","MIT","https://github.com/jonschlinkert/arr-diff"
"arr-diff@2.0.0","MIT","https://github.com/jonschlinkert/arr-diff"
"arr-diff@4.0.0","MIT","https://github.com/jonschlinkert/arr-diff"
"arr-flatten@1.1.0","MIT","https://github.com/jonschlinkert/arr-flatten"
"arr-union@2.1.0","MIT","https://github.com/jonschlinkert/arr-union"
"arr-union@3.1.0","MIT","https://github.com/jonschlinkert/arr-union"
"array-differ@1.0.0","MIT","https://github.com/sindresorhus/array-differ"
"array-each@1.0.1","MIT","https://github.com/jonschlinkert/array-each"
"array-equal@1.0.0","MIT","https://github.com/component/array-equal"
"array-find@1.0.0","MIT","https://github.com/stefanduberg/array-find"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"array-slice@0.2.3","MIT","https://github.com/jonschlinkert/array-slice"
"array-slice@1.1.0","MIT","https://github.com/jonschlinkert/array-slice"
"array-union@1.0.2","MIT","https://github.com/sindresorhus/array-union"
"array-uniq@1.0.3","MIT","https://github.com/sindresorhus/array-uniq"
"array-unique@0.2.1","MIT","https://github.com/jonschlinkert/array-unique"
"array-unique@0.3.2","MIT","https://github.com/jonschlinkert/array-unique"
"arraybuffer.slice@0.0.7","MIT","https://github.com/rase-/arraybuffer.slice"
"arrify@1.0.1","MIT","https://github.com/sindresorhus/arrify"
"asn1@0.2.4","MIT","https://github.com/joyent/node-asn1"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus"
"assertion-error@1.1.0","MIT","https://github.com/chaijs/assertion-error"
"assign-symbols@1.0.0","MIT","https://github.com/jonschlinkert/assign-symbols"
"astral-regex@1.0.0","MIT","https://github.com/kevva/astral-regex"
"async-each@1.0.3","MIT","https://github.com/paulmillr/async-each"
"async-exit-hook@1.1.2","MIT","https://github.com/tapppi/async-exit-hook"
"async-limiter@1.0.0","MIT","https://github.com/strml/async-limiter"
"async@0.2.6","MIT","https://github.com/caolan/async"
"async@0.9.2","MIT","https://github.com/caolan/async"
"async@2.6.2","MIT","https://github.com/caolan/async"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"atob@2.1.2","(MIT OR Apache-2.0)","git://git.coolaj86.com/coolaj86/atob.js"
